GID,LBL,VAL
나나9179,"168.00",168.0000000000
나나9180,"265.00",265.0000000000
나나9181,"2.00",2.0000000000
나나9182,"2.00",2.0000000000
나나9183,,0.0000000000
나나9184,"1.00",1.0000000000
나나9185,"9.00",9.0000000000
나나9186,"12.00",12.0000000000
나나9187,"1.00",1.0000000000
나나9188,"19.00",19.0000000000
나나9189,"7.00",7.0000000000
나나9190,"156.00",156.0000000000
나나9191,"28.00",28.0000000000
나나9192,"199.00",199.0000000000
나나9193,"58.00",58.0000000000
나나9194,"781.00",781.0000000000
나나9195,"246.00",246.0000000000
나나9196,"197.00",197.0000000000
나나9197,"689.00",689.0000000000
나나9198,"3.00",3.0000000000
나나9272,"1.00",1.0000000000
나나9273,"13.00",13.0000000000
나나9274,"196.00",196.0000000000
나나9275,"74.00",74.0000000000
나나9276,"3.00",3.0000000000
나나9277,"11.00",11.0000000000
나나9278,"18.00",18.0000000000
나나9279,,0.0000000000
나나9280,"103.00",103.0000000000
나나9281,"47.00",47.0000000000
나나9282,,0.0000000000
나나9283,,0.0000000000
나나9284,,0.0000000000
나나9285,"3.00",3.0000000000
나나9286,"2.00",2.0000000000
나나9287,,0.0000000000
나나9288,"2.00",2.0000000000
나나9289,"5.00",5.0000000000
나나9290,"79.00",79.0000000000
나나9291,"2.00",2.0000000000
나나9292,"15.00",15.0000000000
나나9293,"46.00",46.0000000000
나나9294,"14.00",14.0000000000
나나9295,"258.00",258.0000000000
나나9296,"416.00",416.0000000000
나나9297,"287.00",287.0000000000
나나9298,"74.00",74.0000000000
나나9372,"20.00",20.0000000000
나나9373,"40.00",40.0000000000
나나9374,"532.00",532.0000000000
나나9375,"53.00",53.0000000000
나나9376,"43.00",43.0000000000
나나9377,"51.00",51.0000000000
나나9378,"5.00",5.0000000000
나나9379,,0.0000000000
나나9380,"82.00",82.0000000000
나나9381,"5.00",5.0000000000
나나9382,,0.0000000000
나나9383,,0.0000000000
나나9384,"8.00",8.0000000000
나나9385,"1.00",1.0000000000
나나9386,,0.0000000000
나나9387,,0.0000000000
나나9388,,0.0000000000
나나9389,"25.00",25.0000000000
나나9390,"40.00",40.0000000000
나나9391,"3.00",3.0000000000
나나9392,"7.00",7.0000000000
나나9393,"11.00",11.0000000000
나나9394,"22.00",22.0000000000
나나9395,"169.00",169.0000000000
나나9396,"408.00",408.0000000000
나나9397,"369.00",369.0000000000
나나9398,"357.00",357.0000000000
나나9399,"12.00",12.0000000000
나나9471,"88.00",88.0000000000
나나9472,"805.00",805.0000000000
나나9473,"27.00",27.0000000000
나나9474,"25.00",25.0000000000
나나9475,"558.00",558.0000000000
나나9476,"277.00",277.0000000000
나나9477,"19.00",19.0000000000
나나9478,"7.00",7.0000000000
나나9479,,0.0000000000
나나9480,"17.00",17.0000000000
나나9481,,0.0000000000
나나9482,,0.0000000000
나나9483,"8.00",8.0000000000
나나9484,"32.00",32.0000000000
나나9485,,0.0000000000
나나9486,,0.0000000000
나나9487,"1.00",1.0000000000
나나9488,,0.0000000000
나나9489,"4.00",4.0000000000
나나9490,,0.0000000000
나나9491,"28.00",28.0000000000
나나9492,"42.00",42.0000000000
나나9493,"3.00",3.0000000000
나나9494,"9.00",9.0000000000
나나9495,"102.00",102.0000000000
나나9496,"130.00",130.0000000000
나나9497,"213.00",213.0000000000
나나9498,"965.00",965.0000000000
나나9499,"74.00",74.0000000000
나나9571,"18.00",18.0000000000
나나9572,"142.00",142.0000000000
나나9573,"13.00",13.0000000000
나나9574,"1.00",1.0000000000
나나9575,"260.00",260.0000000000
나나9576,"42.00",42.0000000000
나나9577,,0.0000000000
나나9578,,0.0000000000
나나9579,"3.00",3.0000000000
나나9580,"79.00",79.0000000000
나나9581,"6.00",6.0000000000
나나9582,"69.00",69.0000000000
나나9583,"1.00",1.0000000000
나나9584,"2.00",2.0000000000
나나9585,,0.0000000000
나나9586,,0.0000000000
나나9587,,0.0000000000
나나9588,"2.00",2.0000000000
나나9589,"1.00",1.0000000000
나나9590,"48.00",48.0000000000
나나9591,"56.00",56.0000000000
나나9592,"69.00",69.0000000000
나나9593,"145.00",145.0000000000
나나9594,"239.00",239.0000000000
나나9595,"43.00",43.0000000000
나나9596,"123.00",123.0000000000
나나9597,"76.00",76.0000000000
나나9598,"1386.00",1386.0000000000
나나9599,"443.00",443.0000000000
나나9671,"6.00",6.0000000000
나나9672,"232.00",232.0000000000
나나9673,"1023.00",1023.0000000000
나나9674,"17.00",17.0000000000
나나9675,"187.00",187.0000000000
나나9676,,0.0000000000
나나9677,,0.0000000000
나나9678,,0.0000000000
나나9679,"57.00",57.0000000000
나나9680,"3.00",3.0000000000
나나9681,"2.00",2.0000000000
나나9682,"1.00",1.0000000000
나나9683,"13.00",13.0000000000
나나9684,"9.00",9.0000000000
나나9685,"1.00",1.0000000000
나나9686,,0.0000000000
나나9687,,0.0000000000
나나9688,"2.00",2.0000000000
나나9689,"12.00",12.0000000000
나나9690,"5.00",5.0000000000
나나9691,"53.00",53.0000000000
나나9692,"32.00",32.0000000000
나나9693,"156.00",156.0000000000
나나9694,"52.00",52.0000000000
나나9695,"337.00",337.0000000000
나나9696,"320.00",320.0000000000
나나9697,"289.00",289.0000000000
나나9698,"459.00",459.0000000000
나나9699,"200.00",200.0000000000
나나9772,"3.00",3.0000000000
나나9773,"200.00",200.0000000000
나나9774,"150.00",150.0000000000
나나9775,"24.00",24.0000000000
나나9776,"4.00",4.0000000000
나나9777,,0.0000000000
나나9778,,0.0000000000
나나9779,,0.0000000000
나나9780,,0.0000000000
나나9781,,0.0000000000
나나9782,,0.0000000000
나나9783,,0.0000000000
나나9784,,0.0000000000
나나9785,,0.0000000000
나나9786,,0.0000000000
나나9787,,0.0000000000
나나9788,,0.0000000000
나나9789,,0.0000000000
나나9790,,0.0000000000
나나9791,"17.00",17.0000000000
나나9792,"180.00",180.0000000000
나나9793,"300.00",300.0000000000
나나9794,"182.00",182.0000000000
나나9795,"515.00",515.0000000000
나나9796,"223.00",223.0000000000
나나9797,"539.00",539.0000000000
나나9798,"486.00",486.0000000000
나나9799,"892.00",892.0000000000
나나9872,,0.0000000000
나나9873,"29.00",29.0000000000
나나9874,"633.00",633.0000000000
나나9875,"342.00",342.0000000000
나나9876,"39.00",39.0000000000
나나9877,,0.0000000000
나나9878,,0.0000000000
나나9879,,0.0000000000
나나9880,,0.0000000000
나나9881,,0.0000000000
나나9882,,0.0000000000
나나9883,,0.0000000000
나나9884,,0.0000000000
나나9885,,0.0000000000
나나9886,,0.0000000000
나나9887,,0.0000000000
나나9888,,0.0000000000
나나9889,,0.0000000000
나나9890,"2.00",2.0000000000
나나9891,"22.00",22.0000000000
나나9892,"176.00",176.0000000000
나나9893,"369.00",369.0000000000
나나9894,"221.00",221.0000000000
나나9895,"124.00",124.0000000000
나나9896,"161.00",161.0000000000
나나9897,"771.00",771.0000000000
나나9898,"996.00",996.0000000000
나나9899,"3216.00",3216.0000000000
나나9972,,0.0000000000
나나9973,"1149.00",1149.0000000000
나나9974,"1990.00",1990.0000000000
나나9975,"37.00",37.0000000000
나나9976,"1.00",1.0000000000
나나9977,"17.00",17.0000000000
나나9978,,0.0000000000
나나9979,,0.0000000000
나나9980,,0.0000000000
나나9981,,0.0000000000
나나9982,,0.0000000000
나나9983,,0.0000000000
나나9984,,0.0000000000
나나9985,,0.0000000000
나나9986,,0.0000000000
나나9987,,0.0000000000
나나9988,,0.0000000000
나나9989,,0.0000000000
나나9990,,0.0000000000
나나9991,"44.00",44.0000000000
나나9992,"3.00",3.0000000000
나나9993,"106.00",106.0000000000
나나9994,"95.00",95.0000000000
나나9995,"57.00",57.0000000000
나나9996,"312.00",312.0000000000
나나9997,"778.00",778.0000000000
나나9998,"148.00",148.0000000000
나나9999,"3762.00",3762.0000000000
나다1280,,0.0000000000
나다1281,"22.00",22.0000000000
나다1380,,0.0000000000
나다1381,"46.00",46.0000000000
나다1383,,0.0000000000
나다1480,,0.0000000000
나다1481,,0.0000000000
나다1582,,0.0000000000
나다1583,,0.0000000000
나다4380,,0.0000000000
나다4681,,0.0000000000
나다4682,,0.0000000000
나다4781,,0.0000000000
나다4782,"39.00",39.0000000000
나다4879,"20.00",20.0000000000
나다4880,,0.0000000000
나다4881,"84.00",84.0000000000
나다4882,,0.0000000000
나다4979,,0.0000000000
나다4980,,0.0000000000
나다4981,,0.0000000000
나다5080,,0.0000000000
나다5191,,0.0000000000
나다5284,,0.0000000000
나다5285,,0.0000000000
나다5291,,0.0000000000
나다5296,,0.0000000000
나다5384,,0.0000000000
나다5385,"38.00",38.0000000000
나다5386,,0.0000000000
나다5391,,0.0000000000
나다5484,,0.0000000000
나다5485,"62.00",62.0000000000
나다5486,,0.0000000000
나다5574,,0.0000000000
나다5575,,0.0000000000
나다5582,,0.0000000000
나다5583,"43.00",43.0000000000
나다5584,"2.00",2.0000000000
나다5585,"8.00",8.0000000000
나다5586,,0.0000000000
나다5596,,0.0000000000
나다5598,,0.0000000000
나다5673,,0.0000000000
나다5674,,0.0000000000
나다5675,,0.0000000000
나다5682,,0.0000000000
나다5683,"73.00",73.0000000000
나다5684,,0.0000000000
나다5690,,0.0000000000
나다5691,,0.0000000000
나다5692,,0.0000000000
나다5697,,0.0000000000
나다5698,,0.0000000000
나다5699,"24.00",24.0000000000
나다5783,,0.0000000000
나다5784,,0.0000000000
나다5790,,0.0000000000
나다5791,"4.00",4.0000000000
나다5792,,0.0000000000
나다5795,,0.0000000000
나다5796,,0.0000000000
나다5883,,0.0000000000
나다5890,,0.0000000000
나다5891,"13.00",13.0000000000
나다5892,"7.00",7.0000000000
나다5895,"10.00",10.0000000000
나다5896,"5.00",5.0000000000
나다5897,,0.0000000000
나다5898,,0.0000000000
나다5899,,0.0000000000
나다5987,,0.0000000000
나다5990,"5.00",5.0000000000
나다5991,"38.00",38.0000000000
나다5992,"35.00",35.0000000000
나다5993,,0.0000000000
나다5994,,0.0000000000
나다5995,,0.0000000000
나다5997,,0.0000000000
나다5998,"22.00",22.0000000000
나다5999,"8.00",8.0000000000
나다6082,,0.0000000000
나다6086,,0.0000000000
나다6087,"2.00",2.0000000000
나다6088,,0.0000000000
나다6089,,0.0000000000
나다6090,"26.00",26.0000000000
나다6091,,0.0000000000
나다6092,,0.0000000000
나다6093,,0.0000000000
